Lobot,118000
Boba Fett,19720
Lama Su,19720
Taun We,19720
Sebulba,18880
Kit Fisto,15600
Dud Bolt,14900
Grievous,13850
San Hill,13800
Mon Mothma,13500
Wilhuff Tarkin,13490
Plo Koon,13400
Tion Medon,12900
Nien Nunb,12780
Chewbacca,12765
Tarfful,12765
Leia Organa,12500
Bail Prestor Organa,12500
Raymus Antilles,12500
Finis Valorum,12240
Adi Gallia,12240
Jocasta Nu,12240
Ben Quadinaros,12190
Jabba Desilijic Tiure,12150
R2-D2,12120
Palpatine,12120
Jar Jar Binks,12120
Roos Tarpals,12120
Rugor Nass,12120
Ric Olié,12120
Quarsh Panaka,12120
Gregar Typho,12120
Cordé,12120
Dormé,12120
Padmé Amidala,12120
Poggle the Lesser,11370
Ackbar,11030
Han Solo,11000
Wedge Antilles,11000
Bib Fortuna,10600
Ayla Secura,10600
Darth Maul,10480
Luke Skywalker,10465
C-3PO,10465
Darth Vader,10465
Owen Lars,10465
Beru Whitesun lars,10465
R5-D4,10465
Biggs Darklighter,10465
Anakin Skywalker,10465
Shmi Skywalker,10465
Cliegg Lars,10465
Mace Windu,10120
